"";"desc";"Estimate";"Std. Error";"z-value";"p-value";"low0.95CI";"high0.95CI"
"GESTATIONAL_AGE_ABCD9";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,562604658410716;0,0344404684363669;16,3355692867592;5,5115419734693e-60;0,495102580664748;0,630106736156683
"SEX1_ABCD4";"MACROSOMIA~LTPA_DUR+GESTATIONAL_AGE+SEX";-0,675498061782503;0,0769032217460211;-8,7837420389667;1,58124099642542e-18;-0,826225606699802;-0,524770516865205
"(Intercept)_ABCD15";"BIRTH_WEIGHT_LGA~LTPA_DUR+";-1,95725269438508;0,0053622206379023;-365,007862703457;0;-1,96776245371253;-1,94674293505764
"LTPA_DUR_ABCD6";"BIRTH_WEIGHT_LGA~LTPA_DUR+";-0,00203050076424174;0,00127044388174565;-1,59826088614928;0,109984928393413;-0,00452052501684248;0,000459523488359008
"(Intercept)_ABCD16";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";-2,24694819846027;0,128991014604331;-17,4194164248773;5,87735213029052e-68;-2,49976594141404;-1,9941304555065
"LTPA_DUR_ABCD7";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";-0,00217702392476912;0,00127171979280043;-1,71187390264261;0,0869199090169116;-0,0046695489170847;0,000315501067546459
"GESTATIONAL_AGE_ABCD10";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE";0,00724031239024888;0,00322106630139521;2,24779986276989;0,024588954635401;0,000927138447698636;0,0135534863327991
"(Intercept)_ABCD17";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";-2,2487411421858;0,129051644748599;-17,4251257825229;5,31913547655672e-68;-2,50167771803872;-1,99580456633289
"LTPA_DUR_ABCD8";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";-0,00217027561396447;0,00127187086992342;-1,70636474604937;0,0879401901269835;-0,00466309671200001;0,000322545484071064
"GESTATIONAL_AGE_ABCD11";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,00723691225308234;0,0032212635353854;2,2466067037314;0,0246651733714516;0,000923351739014788;0,0135504727671499
"SEX1_ABCD5";"BIRTH_WEIGHT_LGA~LTPA_DUR+GESTATIONAL_AGE+SEX";0,00380258818142856;0,00784615567451179;0,484643478816161;0,627929266275216;-0,0115755943577091;0,0191807707205662
"(Intercept)_ABCD18";"BIRTH_WEIGHT~LTPA_EE+";3474,5933099415;7,78453804080565;446,345472490221;0;3459,33589574524;3489,85072413776
"LTPA_EE_ABCD";"BIRTH_WEIGHT~LTPA_EE+";2,23838268955739;0,390092954660253;5,73807515059298;9,57586264271767e-09;1,47381454780048;3,0029508313143
"(Intercept)_ABCD19";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE";-2538,30699432877;180,013338691545;-14,1006606109239;3,76231183594441e-45;-2891,126654901;-2185,48733375653
"LTPA_EE_ABCD1";"BIRTH_WEIGHT~LTPA_EE+GESTATIONAL_AGE";1,57693128190846;0,360915265440603;4,36925625737485;1,24670403435927e-05;0,869550360174163;2,28431220364275
